classificacao,nome_cientifico,nome_comum,cultura
Insetos,Acromyrmex lobicornis,"['Formiga-de-monte-preta', 'Quenquém-de-monte-preta']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4813'}]"
Insetos,Acromyrmex lundi carli,"['Formiga-mineira-preta', 'Quenquém-mineira-preta']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4814'}]"
Insetos,Acromyrmex lundi lundi,"['Formiga-mineira-preta', 'Quenquém-mineira-preta', 'Quem Quem']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4815'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7969'}]"
Insetos,Acromyrmex lundi pubescens,"['Formiga-mineira-preta', 'Quenquém-mineira-preta']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4816'}]"
Insetos,Acromyrmex muticinodus,['Formiga-mineira'],"[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4802'}]"
Insetos,Acromyrmex niger,"['Quenquém-mineira', 'Quenquém-mineira-de-duas-cores']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4803'}]"
Insetos,Acromyrmex octospinosus,"['Carieira', 'Quenquém-mineira-da-Amazônia']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4804'}]"
Insetos,Acromyrmex rugosus rochai,"['Formiga-lavadeira', 'Formiga-quiçaçá']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4805'}]"
Insetos,Acromyrmex rugosus rugosus,"['Formiga cortadeira', 'Formiga-lavadeira']","[{'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7621'}, {'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4806'}]"
Insetos,Acromyrmex spp.,"['Formiga-rapa-rapa', 'Quenquém']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4807'}]"
Insetos,Acromyrmex striatus,"['Formiga-de-eira', 'Formiga-de-rodeio']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=4808'}]"
Insetos,Acromyrmex subterraneus,"['Formiga caiapó', 'Formiga']","[{'nome': '', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7620'}, {'nome': 'Todas as culturas', 'url_agrofit': 'https://agrofit.agricultura.gov.br/agrofit_cons/!ap_praga_detalhe_cons?p_id_cultura_praga=7624'}]"
